Company_name,Contact_email,Floors,Appartements,Basement,Elevators,Shops,Parkings,Occupants,ActiveHours,Companies,Totalelevators,Quality,TotalPrice,quote_date
"Collier, Conroy and Daugherty",clapslie0@google.com,206,618,2,,,,,,,3,Excelium,46200,12/2/2017
Eichmann LLC,nprosek1@reverbnation.com,224,5376,2,,,,,,,24,Excelium,369600,9/27/2018
Zulauf-Klocko,lholmyard2@usa.gov,73,1606,6,,,,,,,22,Standard,166430,10/6/2016
Runolfsdottir-Nienow,bpococke3@google.co.uk,64,512,16,,,,,,,8,Standard,60520,2/26/2016
"Durgan, Botsford and Hyatt",bbemrose4@plala.or.jp,38,798,5,,,,,,,21,Excelium,323400,6/5/2018
"Jacobs, Reilly and Russel",etoyne5@ed.gov,35,350,20,,,,,,,10,Standard,75650,6/11/2016
Schmitt-Kihn,rmelchior6@irs.gov,178,3916,11,,,,,,,22,Premium,271590,3/29/2016
Hodkiewicz-Feil,tmcclinton7@salon.com,274,6850,9,,,,,,,25,Standard,189125,1/9/2018
Cummings Group,bmcpartling8@google.it,207,5382,7,,,,,,,26,Premium,320970,2/14/2017
Veum-West,nhastwell9@t.co,138,2346,15,,,,,,,17,Excelium,261800,10/16/2015
Wyman Group,llongmatea@phoca.cz,245,5635,1,,,,,,,23,Premium,283935,6/13/2016
"Medhurst, Zboncak and Runolfsdottir",scleimentb@hexun.com,145,435,2,,,,,,,3,Premium,37035,12/17/2016
Langworth-Boyer,vmcclenaghanc@mac.com,98,2940,19,,,,,,,30,Excelium,462000,3/30/2016
Champlin-Doyle,gtunnochd@reverbnation.com,56,1008,11,,,,,,,18,Standard,136170,1/12/2018
Howe-Mohr,srossine@google.co.uk,26,286,15,,,,,,,11,Standard,83215,1/8/2018
Lowe Inc,ealdwichf@nih.gov,199,398,14,,,,,,,2,Standard,15130,10/13/2015
"King, Bogan and Toy",amacalleng@theguardian.com,26,260,5,,,,,,,10,Excelium,154000,8/20/2017
Breitenberg Inc,mmalsherh@facebook.com,266,6650,18,,,,,,,25,Excelium,385000,6/27/2018
"Stroman, Flatley and Tillman",omarjoti@studiopress.com,40,200,12,,,,,,,5,Standard,37825,11/11/2015
"Metz, Mayer and Gutmann",msimecekj@tinypic.com,266,7182,9,,,,,,,27,Excelium,415800,12/12/2015
Spinka LLC,epettko0@scribd.com,32,,13,,,432,110,20,14,21,Premium,259245,3/24/2018
"Wyman, Ullrich and Tremblay",elagadu1@altervista.org,299,,19,,,420,124,24,18,22,Premium,271590,5/2/2018
"Kemmer, Medhurst and Bashirian",rnockalls2@1688.com,230,,8,,,555,167,14,14,25,Excelium,385000,9/10/2018
"Tromp, Boehm and Hand",unetting3@blogtalkradio.com,31,,16,,,777,289,22,18,11,Excelium,169400,5/18/2018
"Thompson, Barrows and Zulauf",bhaddrill4@hostgator.com,73,,13,,,416,158,22,30,19,Premium,234555,8/7/2018
"Eichmann, Weissnat and Fay",mcarnegie5@plala.or.jp,28,,17,,,383,211,19,25,9,Premium,111105,3/6/2018
"Grimes, Feil and Wehner",aselly6@163.com,170,,6,,,565,155,16,26,15,Premium,185175,7/16/2018
